epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8224,2.9872,7.04389,3.36154,0,0,0,0,4.47011,3.83603,5.58186,6.66e-06,6.66e-06,6.66e-06
2,54.0531,2.95333,7.07337,3.28543,0,0,0,0,4.49469,3.83667,5.64226,1.62466e-05,1.62466e-05,1.62466e-05
3,55.1798,3.05523,7.08013,3.48525,0,0,0,0,4.4748,3.83658,5.5929,2.41215e-05,2.41215e-05,2.41215e-05
4,56.4301,2.73933,6.70534,3.1236,0,0,0,0,4.49652,3.83579,5.43574,2.91558e-05,2.91558e-05,2.91558e-05
5,57.7907,2.4724,6.66026,2.80632,0,0,0,0,4.38916,3.83487,5.23823,3.06743e-05,3.06743e-05,3.06743e-05
6,58.9932,2.12458,6.26979,2.54656,0,0,0,0,4.38755,3.8363,5.2604,2.85881e-05,2.85881e-05,2.85881e-05
7,60.2213,1.88797,6.06621,2.43848,0,0,0,0,4.55299,3.83987,5.35596,2.34456e-05,2.34456e-05,2.34456e-05
8,61.4223,1.90025,6.40987,2.41041,0,0,0,0,4.57148,3.83842,5.45771,1.63938e-05,1.63938e-05,1.63938e-05
9,62.6243,1.93763,6.07396,2.41946,0,0,0,0,4.54509,3.83626,5.46415,9.05078e-06,9.05078e-06,9.05078e-06
10,63.8961,1.70588,5.77953,2.24141,0,0,0,0,4.52288,3.83508,5.5486,3.3053e-06,3.3053e-06,3.3053e-06
