epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53.7042,1.35032,2.81715,2.06371,0.0062,0.45161,0.04753,0.01222,4.67493,3.20632,7.33812,0.0012862,0.0012862,0.0012862
43,54.9328,1.45872,2.94387,2.15965,0.00735,0.50538,0.05247,0.01725,4.43531,3.13823,7.10315,0.0012562,0.0012562,0.0012562
44,56.1257,1.47824,2.74548,2.17432,0.00761,0.51613,0.06332,0.01887,4.31986,3.30696,7.48814,0.00122596,0.00122596,0.00122596
45,57.3391,1.40311,2.91097,2.10243,0.00696,0.43011,0.01638,0.00535,4.22801,3.48856,6.2553,0.00119551,0.00119551,0.00119551
46,58.5161,1.43059,2.81431,2.07983,0.01232,0.56989,0.0194,0.00683,3.84902,3.4332,6.17432,0.00116487,0.00116487,0.00116487
47,59.7156,1.57751,2.84924,2.21822,0.04206,0.29032,0.0599,0.02147,3.78549,3.30729,6.29099,0.00113408,0.00113408,0.00113408
48,60.8905,1.42362,2.75268,2.13551,0.04529,0.26882,0.06188,0.02209,3.82769,3.32982,6.63987,0.00110317,0.00110317,0.00110317
49,62.1299,1.50105,2.7778,2.19773,0.0691,0.34409,0.08502,0.02692,3.86882,3.17898,7.29588,0.00107216,0.00107216,0.00107216
50,63.3992,1.32129,2.73018,2.03356,0.05389,0.36559,0.08597,0.02617,3.79829,3.2008,7.48268,0.0010411,0.0010411,0.0010411
51,64.5916,1.47394,2.85441,2.22591,0.04179,0.45161,0.06756,0.021,3.87202,3.34304,7.50149,0.00101,0.00101,0.00101
52,65.7876,1.33144,2.65127,2.11148,0.04182,0.48387,0.06459,0.02053,3.90169,3.42637,7.49016,0.000978903,0.000978903,0.000978903
53,66.989,1.44059,2.74679,2.18746,0.06453,0.46237,0.09322,0.02934,3.84704,3.3712,7.24857,0.000947837,0.000947837,0.000947837
54,68.1553,1.39129,2.71887,2.14519,0.07425,0.47312,0.10364,0.03559,3.77355,3.31588,6.8951,0.000916833,0.000916833,0.000916833
55,69.4163,1.29914,2.66937,2.09884,0.08968,0.44086,0.09093,0.03091,3.87492,3.11435,6.97675,0.00088592,0.00088592,0.00088592
56,70.5935,1.39341,2.6122,2.04199,0.09615,0.4086,0.07954,0.02857,3.94523,3.1622,6.92306,0.00085513,0.00085513,0.00085513
57,71.7954,1.39495,2.69014,2.0927,0.08909,0.37634,0.07386,0.02906,3.97584,3.16266,6.75917,0.000824492,0.000824492,0.000824492
58,72.9933,1.37792,2.72415,2.21099,0.10468,0.26882,0.07994,0.03303,3.99352,3.1674,6.58028,0.000794038,0.000794038,0.000794038
59,74.1835,1.27241,2.58542,2.07002,0.08844,0.19355,0.07019,0.02586,3.90441,3.27764,6.22816,0.000763797,0.000763797,0.000763797
60,75.7064,1.37769,2.67572,2.18659,0.07169,0.17204,0.06217,0.02373,3.84874,3.44923,6.28835,0.000733799,0.000733799,0.000733799
61,76.9476,1.28476,2.5785,1.99976,0.10314,0.1828,0.06356,0.02143,3.88833,3.63695,6.34744,0.000704073,0.000704073,0.000704073
62,78.1418,1.4013,2.54077,2.09524,0.10682,0.13978,0.06113,0.02086,3.92572,3.65837,6.4147,0.000674649,0.000674649,0.000674649
63,79.3617,1.1919,2.4002,1.89233,0.10813,0.11828,0.05021,0.0169,4.08995,3.86328,6.46527,0.000645557,0.000645557,0.000645557
64,80.5871,1.35202,2.54043,2.03908,0.08023,0.13978,0.04697,0.01783,4.1045,3.73707,6.47278,0.000616824,0.000616824,0.000616824
65,81.7646,1.5122,2.7265,2.20059,0.05766,0.13978,0.03897,0.01636,4.02172,3.62302,6.5038,0.000588479,0.000588479,0.000588479
66,82.9488,1.33819,2.65465,2.0872,0.04937,0.15054,0.03295,0.01429,3.93833,3.5382,6.24136,0.000560549,0.000560549,0.000560549
