epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,57.0426,1.32275,3.75107,1.9581,0.01692,0.23225,0.04023,0.011,4.93659,3.74748,6.34554,0.000204123,0.000204123,0.000204123
45,58.2576,1.47396,3.64854,2.07029,0.01764,0.3043,0.04819,0.01612,4.89312,3.73605,6.35659,0.000199052,0.000199052,0.000199052
46,59.4721,1.32241,3.70059,1.91562,0.019,0.33876,0.06493,0.01965,4.89651,3.78061,6.32573,0.000193951,0.000193951,0.000193951
47,60.6865,1.50294,3.63286,2.0973,0.01682,0.375,0.06891,0.02594,4.80633,3.7564,6.16916,0.000188824,0.000188824,0.000188824
48,61.8905,1.32923,3.54484,1.90914,0.01759,0.40173,0.07125,0.03142,4.721,3.762,6.04781,0.000183677,0.000183677,0.000183677
49,63.1483,1.4406,3.63124,2.03706,0.01791,0.4032,0.0628,0.02775,4.69229,3.71183,6.15275,0.000178515,0.000178515,0.000178515
50,64.3362,1.483,3.56923,2.0559,0.01804,0.39818,0.06439,0.03021,4.65624,3.76903,6.11895,0.000173343,0.000173343,0.000173343
51,65.5362,1.37621,3.75591,1.98261,0.01987,0.42011,0.06574,0.0298,4.70039,3.84355,6.3222,0.000168165,0.000168165,0.000168165
52,66.8767,1.35332,3.57909,1.94264,0.01939,0.41124,0.05986,0.02589,4.75236,3.90276,6.48575,0.000162987,0.000162987,0.000162987
53,68.1103,1.3724,3.62239,1.93012,0.0213,0.41708,0.06117,0.02557,4.7533,3.86432,6.59101,0.000157815,0.000157815,0.000157815
54,69.3067,1.50849,3.47819,2.01211,0.02272,0.42084,0.06243,0.02687,4.7173,3.81376,6.57337,0.000152653,0.000152653,0.000152653
55,70.5502,1.31311,3.40629,1.92831,0.02544,0.43338,0.06528,0.02829,4.60858,3.74902,6.50865,0.000147506,0.000147506,0.000147506
56,71.735,1.39304,3.61965,1.92167,0.02599,0.42231,0.066,0.02843,4.55957,3.73079,6.44579,0.000142379,0.000142379,0.000142379
57,72.9492,1.42239,3.52061,1.94473,0.02886,0.41646,0.0697,0.03137,4.48854,3.66622,6.22465,0.000137278,0.000137278,0.000137278
58,74.1325,1.41431,3.39829,1.98613,0.03118,0.41646,0.07117,0.03386,4.48491,3.66581,6.13256,0.000132207,0.000132207,0.000132207
59,75.3651,1.37528,3.42602,1.93246,0.03071,0.37865,0.06405,0.0313,4.5311,3.64129,6.01687,0.000127172,0.000127172,0.000127172
60,76.5839,1.31693,3.34936,1.88869,0.03106,0.36623,0.06288,0.03052,4.53765,3.64282,5.92383,0.000122178,0.000122178,0.000122178
61,77.7976,1.26654,3.41624,1.85222,0.02912,0.35119,0.06426,0.03286,4.56141,3.66876,5.89852,0.000117228,0.000117228,0.000117228
62,79.3238,1.17953,3.42143,1.80258,0.02525,0.33427,0.06588,0.03263,4.55285,3.65574,5.88351,0.000112329,0.000112329,0.000112329
63,80.5267,1.31553,3.47898,1.83121,0.02788,0.38409,0.07129,0.03574,4.52152,3.66866,5.89696,0.000107485,0.000107485,0.000107485
64,81.7501,1.19866,3.27596,1.80525,0.03279,0.44256,0.08033,0.0401,4.45921,3.69958,5.83686,0.000102701,0.000102701,0.000102701
65,82.9747,1.28896,3.25823,1.8866,0.02601,0.40403,0.07511,0.0372,4.47652,3.75186,5.95041,9.79817e-05,9.79817e-05,9.79817e-05
66,84.1806,1.25776,3.42202,1.80541,0.0254,0.41061,0.07342,0.03548,4.45455,3.7814,5.97108,9.33315e-05,9.33315e-05,9.33315e-05
67,85.4306,1.26766,3.46014,1.87859,0.02739,0.43713,0.08025,0.03753,4.41633,3.79857,5.9511,8.87551e-05,8.87551e-05,8.87551e-05
68,86.6389,1.33974,3.43656,1.85879,0.02672,0.42982,0.08176,0.03999,4.40297,3.76994,5.95914,8.42572e-05,8.42572e-05,8.42572e-05
69,87.8502,1.29446,3.43749,1.88866,0.02907,0.42982,0.08465,0.04411,4.41538,3.6987,5.94586,7.9842e-05,7.9842e-05,7.9842e-05
70,89.0476,1.24882,3.36196,1.79669,0.0287,0.4127,0.07945,0.04374,4.45685,3.69844,5.98392,7.5514e-05,7.5514e-05,7.5514e-05
71,90.2736,1.26615,3.27605,1.85413,0.03226,0.42586,0.08743,0.04951,4.41635,3.6502,5.90859,7.12774e-05,7.12774e-05,7.12774e-05
72,91.5851,1.25331,3.34023,1.80618,0.03343,0.46251,0.09278,0.05269,4.36634,3.67151,5.87411,6.71365e-05,6.71365e-05,6.71365e-05
73,92.8566,1.24931,3.18714,1.84053,0.02677,0.43619,0.08652,0.04873,4.3188,3.69305,5.82169,6.30952e-05,6.30952e-05,6.30952e-05
74,94.0284,1.22214,3.32817,1.82989,0.02609,0.44277,0.08454,0.0471,4.30119,3.66725,5.80569,5.91577e-05,5.91577e-05,5.91577e-05
75,95.2321,1.30388,3.20579,1.88973,0.02581,0.44862,0.085,0.04681,4.24781,3.6521,5.80016,5.53277e-05,5.53277e-05,5.53277e-05
76,96.4243,1.17135,3.27621,1.73718,0.02541,0.44862,0.08899,0.0485,4.23783,3.63242,5.83195,5.16091e-05,5.16091e-05,5.16091e-05
77,97.6791,1.1872,3.29054,1.78885,0.0255,0.45029,0.08835,0.04799,4.24099,3.61578,5.87304,4.80055e-05,4.80055e-05,4.80055e-05
78,98.8752,1.22087,3.23579,1.79887,0.02678,0.45614,0.09154,0.04874,4.24643,3.61793,5.86581,4.45204e-05,4.45204e-05,4.45204e-05
79,100.123,1.1301,3.24986,1.71088,0.02719,0.4505,0.09236,0.04796,4.26066,3.6108,5.93751,4.11574e-05,4.11574e-05,4.11574e-05
80,101.305,1.14159,3.19457,1.79435,0.02934,0.46366,0.09295,0.04695,4.2697,3.61595,5.93928,3.79198e-05,3.79198e-05,3.79198e-05
81,102.54,1.14245,3.07446,1.76311,0.03063,0.45614,0.09323,0.05038,4.31908,3.6211,6.01032,3.48107e-05,3.48107e-05,3.48107e-05
82,103.853,1.20381,3.22385,1.79607,0.03082,0.45614,0.09126,0.04901,4.29993,3.61737,5.99118,3.18332e-05,3.18332e-05,3.18332e-05
83,105.062,1.10239,3.14275,1.76155,0.03037,0.45029,0.08786,0.04889,4.31241,3.61275,5.98537,2.89902e-05,2.89902e-05,2.89902e-05
