epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0924,2.95436,6.93269,3.51028,0,0,0,0,4.50808,8.90214,5.54833,1.332e-05,1.332e-05,1.332e-05
2,40.1006,2.423,6.64417,2.899,0,0,0,0,4.44485,8.5444,5.41184,2.92439e-05,2.92439e-05,2.92439e-05
3,73.154,2.69188,6.2376,3.0844,0,0,0,0,4.42933,8.49412,5.33719,4.22127e-05,4.22127e-05,4.22127e-05
4,96.1492,2.26023,6.20115,2.8466,0,0,0,0,4.32073,8.20415,5.02845,5.036e-05,5.036e-05,5.036e-05
5,116.906,2.38012,6.42467,2.82692,0,0,0,0,4.24638,7.92924,4.87387,5.25844e-05,5.25844e-05,5.25844e-05
6,131.382,2.3154,6.2354,2.7552,0,0,0,0,4.12845,7.70985,4.76874,4.87679e-05,4.87679e-05,4.87679e-05
7,145.768,2.19387,6.21831,2.56244,0,0,0,0,4.04851,7.45855,4.75851,3.98576e-05,3.98576e-05,3.98576e-05
8,160.91,2.05554,6.08901,2.58875,0,0,0,0,4.10807,7.45151,4.80323,2.77982e-05,2.77982e-05,2.77982e-05
9,175.698,2.03133,5.80379,2.45208,0,0,0,0,4.16693,7.63391,4.89931,1.53167e-05,1.53167e-05,1.53167e-05
10,190.378,2.11258,5.98919,2.53243,0,0,0,0,4.23608,7.61858,5.00226,5.58482e-06,5.58482e-06,5.58482e-06
