epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.07607,3.52851,4.47575,3.63684,0,0,0,0,4.33337,3.83224,4.98967,6.66e-06,6.66e-06,6.66e-06
2,4.61994,3.50687,4.39448,3.6877,0,0,0,0,4.26121,3.83313,4.82976,1.66459e-05,1.66459e-05,1.66459e-05
3,6.0055,3.33638,4.39696,3.62333,0,0,0,0,4.16246,3.82802,4.59255,2.6614e-05,2.6614e-05,2.6614e-05
4,7.57328,3.2409,4.41364,3.35507,0,0,0,0,4.08732,3.82516,4.39359,3.65495e-05,3.65495e-05,3.65495e-05
5,9.0039,3.04745,4.47077,3.21147,0,0,0,0,3.95994,3.82576,4.29034,4.6438e-05,4.6438e-05,4.6438e-05
6,10.3711,2.82951,4.40782,3.02916,0,0,0,0,3.67105,3.82329,4.09413,5.6265e-05,5.6265e-05,5.6265e-05
7,11.7696,2.49956,4.33826,2.84718,0,0,0,0,3.33333,3.82059,3.96595,6.60161e-05,6.60161e-05,6.60161e-05
8,13.2124,2.45974,4.34695,2.78137,0,0,0,0,3.22544,3.82467,4.0172,7.5677e-05,7.5677e-05,7.5677e-05
9,14.6415,2.25048,4.30954,2.64351,0,0,0,0,3.21643,3.83067,4.05449,8.52336e-05,8.52336e-05,8.52336e-05
10,16.0437,2.1548,4.2911,2.55741,0,0,0,0,3.51861,3.85505,4.26253,9.4672e-05,9.4672e-05,9.4672e-05
11,17.6782,2.19722,4.31148,2.59187,0,0,0,0,3.5813,3.88644,4.49141,0.000103978,0.000103978,0.000103978
12,18.9499,2.13679,4.2977,2.59128,0,0,0,0,3.59482,3.89066,4.52247,0.000113139,0.000113139,0.000113139
13,20.2973,2.0424,4.3043,2.50012,0,0,0,0,3.65521,3.89659,4.63032,0.000122141,0.000122141,0.000122141
14,21.7391,2.03111,4.30434,2.51083,0,0,0,0,3.69935,3.89077,4.70288,0.000130972,0.000130972,0.000130972
15,23.0976,1.94887,4.27656,2.46622,0,0,0,0,3.7876,3.90314,4.81616,0.000139617,0.000139617,0.000139617
16,24.4513,1.95032,4.24183,2.43948,0,0,0,0,3.79848,3.90154,4.83454,0.000148066,0.000148066,0.000148066
17,25.8509,1.95681,4.28203,2.4435,0,0,0,0,3.77559,3.8937,4.87679,0.000156306,0.000156306,0.000156306
18,27.2672,1.83757,4.24612,2.393,0,0,0,0,3.78422,3.88977,4.87801,0.000164324,0.000164324,0.000164324
19,28.6646,1.84183,4.27323,2.37428,0,0,0,0,3.72163,3.87477,4.76737,0.00017211,0.00017211,0.00017211
20,30.0286,1.83392,4.25125,2.41215,0,0,0,0,3.73121,3.86152,4.75516,0.000179653,0.000179653,0.000179653
